CustomerID,Age,CreditScore,Tenure,Balance,NumOfProducts,EstimatedSalary,TotalAssets
USR-10092,47.0,331,8,69596.07659351782,1,130129.63434542075,72385.76861180548
USR-10093,69.0,598,5,60635.73122417733,2,52488.82370413079,64842.640952131216
USR-10094,39.0,394,5,15796.111704592884,1,73222.32143181839,15914.03370249474
USR-10095,33.0,311,1,,1,61401.774256773126,
USR-10096,,404,6,58283.168441035974,1,41390.080360648746,61322.39335583556
USR-10097,28.0,785,2,,1,100578.84220515433,
USR-10098,44.0,526,8,50081.379825688506,2,71685.3388883833,52466.58972812795
USR-10099,34.0,452,2,70136.01542059919,1,73143.16151926773,73811.05906195626
USR-10100,35.0,462,5,61675.7827289173,2,119264.82435138874,65015.32215996054
USR-10101,50.0,436,5,75976.84941090751,1,20108.369589322683,79029.09635870496
USR-10102,21.0,646,5,81317.53920587208,2,49634.205967366695,86015.50548573303
USR-10103,28.0,691,1,52052.195012714656,3,93755.71427888129,55461.08100760526
USR-10104,30.0,353,9,16784.552527595377,1,130749.3937958114,16138.08151117547
USR-10105,38.0,744,9,46877.1230495272,2,76968.95865701577,48632.43072566562
USR-10106,32.0,790,0,73533.11534704182,1,30201.53606230264,78394.56811802658
USR-10107,35.0,620,2,66916.25530543533,1,132739.86845792644,70957.99574770594
USR-10108,29.0,346,7,38253.76125103466,2,124978.87907846337,39084.83454787551
USR-10109,52.0,659,7,74439.27927820853,1,118569.59752228692,78482.58020479411
USR-10110,43.0,623,1,46506.31602685403,3,66962.41925326939,48619.92195173568
USR-10111,44.0,394,2,72126.10299123597,3,63113.78871341693,74764.15326610573
USR-10112,43.0,833,4,68977.41169747559,3,68730.13646143195,72900.9791870332
USR-10113,34.0,364,4,64600.96508016685,2,24885.43578673654,67561.65057345573
USR-10114,25.0,506,2,49556.664612535504,1,29393.313955246653,51696.3040702109
USR-10115,22.0,331,4,55448.91581221369,1,47927.91023246305,58617.055783906595
USR-10116,18.0,408,1,70651.39607080493,2,120418.18970640635,74196.74516074352
USR-10117,62.0,674,5,65850.61406926878,1,116996.7560874753,69120.53145206913
USR-10118,35.0,429,7,48268.80260682078,1,,50244.53327690103
USR-10119,42.0,313,2,,2,131762.15945229778,
USR-10120,41.0,652,8,98109.99282722385,3,134718.11322802416,104041.00464251959
USR-10121,23.0,832,9,29147.644215263626,1,81381.2387954423,32316.76568013655
USR-10122,31.0,684,4,36839.8548751433,2,114428.56654709093,38818.96745262435
USR-10123,49.0,461,9,82105.95599072124,3,55678.43222371868,87276.85668275604
USR-10124,36.0,680,7,59786.77461556049,1,46302.04970725757,63520.35522937674
USR-10125,22.0,822,2,40287.324523007046,4,60550.45638808207,40774.569072622224
USR-10126,78.0,838,6,,2,94122.32818479833,
USR-10127,51.0,772,0,42586.72071632139,1,59405.77923550061,46099.244831982476
USR-10128,62.0,791,9,53702.00539644653,1,40652.152628665644,56390.19730625562
USR-10129,41.0,782,5,60341.576305112394,2,,63334.22468111351
USR-10130,55.0,397,6,65359.96268394948,2,43127.58135847725,70556.17867187236
USR-10131,21.0,587,6,31836.823875183898,2,147804.2497952012,35415.27229174005
USR-10132,38.0,555,1,49851.84139227553,1,139822.09743906086,53805.08177000939
USR-10133,30.0,350,5,75588.83481516925,2,96437.48635624854,78064.11868834015
USR-10134,26.0,321,3,,1,125872.6986502452,
USR-10135,32.0,608,0,66006.74124497085,1,83400.38576920712,69027.67030116386
USR-10136,,728,3,18940.342937726356,1,135048.94667290573,20328.453521324675
USR-10137,45.0,628,2,,2,44943.114325111004,
USR-10138,44.0,332,0,33226.74629454972,1,,34801.22197328643
USR-10139,41.0,353,7,61500.34064961873,2,121469.48840816176,65230.58436967435
USR-10140,34.0,832,9,34091.7435976245,1,140825.7999066061,37569.725853886324
USR-10141,39.0,757,2,42431.88093187903,2,29992.937588717265,43406.54854983252
USR-10142,34.0,549,9,53667.89496361235,1,119587.47283526765,56118.761661595214
USR-10143,74.0,391,5,48523.04999055834,1,147932.4254560465,49362.24371352956
USR-10144,63.0,577,2,,1,116308.15807789526,
USR-10145,47.0,426,7,15426.350192657876,2,108953.68380809986,15669.281818005695
USR-10146,25.0,731,2,57098.06677845384,2,103367.66957701139,59809.30479101472
USR-10147,33.0,799,9,70120.54511373237,1,149266.92039753989,73416.54910828703
USR-10148,26.0,318,9,56881.64915482793,3,101846.71865586088,60647.759328823224
USR-10149,26.0,470,2,53162.95883592752,1,67579.0139856635,57649.23992031485
USR-10150,21.0,808,0,65429.55267619291,2,115443.07556746026,69208.9409341531
USR-10151,34.0,389,7,50027.79950827063,1,139954.67395812226,54333.52703998075
USR-10152,50.0,629,9,56252.412591193184,1,137166.79892074276,59708.249704510265
USR-10153,50.0,397,6,87345.85831810828,1,38364.61354992349,90859.47214157974
USR-10154,31.0,805,1,59353.39649514486,4,134161.27065947498,63745.21884300299
USR-10155,29.0,401,0,73166.76962884775,2,57245.47235860769,76935.86776784081
USR-10156,64.0,491,9,,2,105096.62860417493,
USR-10157,,476,4,22040.738990153794,1,,22979.997984293903
USR-10158,50.0,719,4,60074.54304045884,1,125591.85476102939,64335.358687678236
USR-10159,49.0,538,9,58706.843081136176,1,,61939.13331780242
USR-10160,28.0,636,4,52091.44092615224,1,28663.107511191803,55352.54778653155
USR-10161,52.0,741,2,63560.35689286402,1,71517.36810424068,65945.96701806092
USR-10162,58.0,846,4,86989.75759579649,1,45953.810029819295,91468.8006414061
USR-10163,29.0,426,2,56923.11762474287,2,48304.97725039726,59996.38575869872
USR-10164,61.0,516,5,84940.3108700224,1,91879.33645056364,88688.16866911178
USR-10165,35.0,380,0,57583.57990086334,3,84812.59304414774,59754.980490888316
USR-10166,21.0,813,7,55305.0655480574,1,91926.40712325263,57208.77530902433
USR-10167,84.0,445,5,62498.48907522771,1,,65744.17228472521
USR-10168,85.0,361,2,73330.95417541255,2,48992.89574189338,78056.43625872408
USR-10169,23.0,355,6,27830.736072526175,2,,29276.26741703677
USR-10170,44.0,730,5,26621.686990112692,1,60670.550284298944,26985.459451836763
USR-10171,48.0,669,2,,1,42697.35600849721,
USR-10172,43.0,684,4,22627.128428890665,1,37151.31936500998,23583.907223904447
USR-10173,50.0,305,8,29349.717404795985,2,149796.30891064194,30607.664010072946
USR-10174,37.0,639,1,64437.497858871444,4,132820.4759239729,68663.66982388994
USR-10175,,621,3,66136.16365300151,1,84916.68083270834,69162.16998339952
USR-10176,46.0,336,1,,2,108308.0004602192,
USR-10177,29.0,506,0,58372.209599098634,1,131105.27508719102,61384.09960023345
USR-10178,32.0,815,7,48663.50212810804,1,,49706.929876366376
USR-10179,47.0,335,9,36340.31550811116,2,32554.742595204145,39390.783853387285
USR-10180,24.0,832,9,24227.614944749017,1,,25775.765231212197
USR-10181,29.0,323,7,49689.378443797184,1,46782.435660076764,52337.48543795882
USR-10182,39.0,513,2,45055.10097140031,4,41112.01478920344,46797.195563000874
USR-10183,37.0,458,0,61948.448034444715,1,92849.25440115911,63953.73060091424
USR-10184,37.0,651,2,46714.44819675978,1,114977.37311634867,49382.73840782935
USR-10185,59.0,433,6,30689.510867694058,2,85003.72102595326,31241.02781194779
USR-10186,47.0,537,0,,2,63113.9107671006,
USR-10187,41.0,662,0,33468.778819418454,1,102028.4154145482,35188.24303533681
USR-10188,32.0,388,0,27213.23802247763,2,64667.39893523017,28662.860221774892
USR-10189,39.0,738,7,0.0,2,107188.15329621057,-400.5045298677588
USR-10190,58.0,764,4,44707.700905598904,1,148830.4020915412,47452.17163198192
USR-10191,46.0,702,3,82415.9334236049,1,93281.18942085233,86813.49776672272
USR-10192,23.0,704,2,87702.85515964424,2,35166.21977241145,89782.38739443422
USR-10193,46.0,609,0,43555.71329360816,2,28594.571469376595,45645.58443454539
USR-10194,58.0,668,4,93023.86567124448,1,129140.75776762968,98909.79556621502
USR-10195,85.0,802,2,57490.91248756565,1,117359.25508525287,61582.15003430631
USR-10196,,707,0,60974.66808540979,2,123424.46812578234,62506.414692572005
USR-10197,49.0,642,1,47997.96820261012,1,33330.66417447701,51293.2792423747
USR-10198,24.0,438,1,12652.025768906278,1,31701.695362862753,12661.63386397052
USR-10199,37.0,526,4,,2,93996.33526626154,
USR-10200,51.0,328,8,47642.74701011031,1,121139.43358137854,48059.217151071534
USR-10201,23.0,459,6,44834.74941122936,1,58626.27019924493,47418.383772307905
USR-10202,49.0,833,5,29103.163169475916,2,128681.73456610623,30252.7428948522
USR-10203,23.0,381,8,54333.59476697041,2,29458.73624078922,57504.29369976775
USR-10204,25.0,667,3,43543.446457580816,2,132763.14897060316,44704.942662769674
USR-10205,50.0,653,8,44721.26612087295,1,92332.7923839835,47144.28317967424
USR-10206,32.0,388,8,48868.60057834389,3,,50642.71222748591
USR-10207,58.0,476,2,27630.66101684436,1,88065.06300507837,28757.22885732307
USR-10208,33.0,737,6,,2,44196.11660314047,
USR-10209,34.0,697,2,73496.51336595157,2,108385.4068631206,75699.81329656002
USR-10210,24.0,394,0,61767.19936168843,1,117702.24789174639,64717.198696039515
USR-10211,24.0,495,6,74382.4374069353,2,,78956.38509911251
USR-10212,34.0,442,1,45321.78143214154,2,54488.917479791075,47229.362513899876
USR-10213,48.0,735,7,,2,,
USR-10214,33.0,520,1,26334.66867948817,1,141999.63926894116,29433.367549245704
USR-10215,47.0,465,1,40892.417063856425,2,83979.368306182,41431.9900763396
USR-10216,34.0,569,0,34520.157850725634,1,71048.70200737653,35382.36586707798
USR-10217,37.0,819,5,46255.15919769202,2,,48636.47418961163
USR-10218,33.0,382,3,,1,94470.20429614902,
USR-10219,61.0,449,4,40979.07587180355,1,76321.31587781972,41327.01698638171
USR-10220,70.0,362,3,109961.64588470376,2,27561.84685673454,114880.04609838172
USR-10221,69.0,589,6,54698.25619160594,1,48413.84104502653,58188.26800397115
USR-10222,65.0,775,5,8732.06154010383,3,121291.29708406246,9422.779924689254
USR-10223,34.0,393,4,70383.1944904287,1,73022.5263686706,74549.76683797897
USR-10224,21.0,769,7,48597.6957367381,1,26269.977080214016,51138.114313321814
USR-10225,29.0,763,4,25091.732793988973,1,139541.41941808292,27205.134761210214
USR-10226,32.0,584,5,32519.143363944513,2,72584.89057530748,36630.5105238174
USR-10227,36.0,763,2,37070.58468772273,1,25070.528989430575,38619.13224231879
USR-10228,58.0,331,0,6323.677749444381,1,51751.71997083185,6279.5330540813
USR-10229,29.0,334,0,49054.53448548163,2,36040.687037372554,50857.977049562665
USR-10230,32.0,354,7,55506.51740747465,2,105291.09776041702,57843.832321147005
USR-10231,36.0,541,6,,1,86103.0351293534,
USR-10232,35.0,472,7,22835.728304623575,2,131487.44427195546,24591.520569408793
USR-10233,54.0,716,3,44500.170318209224,3,37262.81915105968,47318.61959348964
USR-10234,27.0,317,0,50569.69025792909,1,110588.36628815036,54205.3131565933
USR-10235,28.0,779,2,5826.750748987106,2,74807.28045619532,5513.36204532107
USR-10236,21.0,355,4,53816.088173824835,1,43255.569251250156,56696.277047635616
USR-10237,46.0,340,7,82692.47086770013,3,107982.05319314807,86472.44590664147
USR-10238,25.0,337,1,37665.09094385234,2,,39444.202025785424
USR-10239,38.0,758,0,64023.43189403164,1,102765.01501997141,67748.02676076759
USR-10240,27.0,763,4,60496.88806567498,2,47467.06820333238,62706.30721894319
USR-10241,,558,4,54040.60486075121,1,146559.7912228621,55752.784527092015
USR-10242,38.0,501,5,,1,119606.2361478799,
USR-10243,23.0,423,3,80325.91565144018,3,,84776.09730732987
USR-10244,31.0,815,2,43488.04585518988,2,72857.73676526127,47501.97225000641
USR-10245,48.0,343,6,67382.56468112885,2,70132.19435424003,69383.67864868499
USR-10246,62.0,602,0,33849.312924062964,2,24986.413472059587,36038.2906176964
USR-10247,28.0,705,1,52859.64849159199,1,129202.73672659192,54207.95719978336
USR-10248,36.0,594,0,5890.990772200952,2,140149.18197455085,6772.747086980666
USR-10249,25.0,419,5,50527.70029585894,1,64181.33356633329,53054.11634588193
USR-10250,51.0,425,7,39525.83397516617,3,136871.69470430835,41660.12211559999
USR-10251,40.0,511,6,77875.96287037947,1,82842.35837851363,80387.76699842933
USR-10252,42.0,421,6,21792.993936177,1,138515.339034133,22630.3172827456
USR-10253,39.0,332,3,60186.372507097505,2,94650.28389727704,61988.045259884086
USR-10254,29.0,517,7,86384.27762044413,2,66695.05651722147,90899.410796616
USR-10255,65.0,413,0,80816.20024561539,2,143552.64208965818,84234.92041532918
USR-10256,31.0,557,0,75093.93786112612,1,60076.3635165966,80131.56161378889
USR-10257,85.0,638,4,,1,88337.1913258146,
USR-10258,43.0,428,7,68000.59796858033,2,129127.6130034738,70605.39634583994
USR-10259,50.0,755,2,,1,123269.90803835187,
USR-10260,63.0,604,4,48043.24312921599,2,109981.01354144631,49980.92457481892
USR-10261,44.0,414,8,59189.4444228441,2,121164.48483008724,63513.4101193349
USR-10262,33.0,733,9,30098.116336090825,4,78681.21490045576,30370.263646093015
USR-10263,32.0,441,5,69432.8729593343,2,134404.02807663707,71969.2624684879
USR-10264,32.0,670,3,,1,149461.03791288217,
USR-10265,44.0,396,9,41102.901194152524,2,146853.97187904012,44092.2897088882
USR-10266,55.0,303,2,19122.64678778645,1,,19391.329007594446
USR-10267,54.0,672,2,,1,74530.71057514279,
USR-10268,61.0,627,6,26140.861202007054,1,109334.54730740128,28409.225314248302
USR-10269,37.0,734,0,69987.1837436253,2,36047.38634545605,71721.3864913288
USR-10270,47.0,541,2,70720.83704991089,1,110056.52415030972,74346.69542936802
USR-10271,50.0,619,9,,1,92074.03980260291,
USR-10272,35.0,635,7,719164.086296777,2,141782.49892155977,756258.2906504767
USR-10273,38.0,565,5,52006.74043267651,2,99938.6828175192,57429.268718105435
USR-10274,27.0,665,1,52619.49765899784,1,107846.9026833619,56074.70762284491
USR-10275,25.0,445,3,50003.21746053317,1,59961.75358846004,52389.924701033844
USR-10276,47.0,822,3,,2,52781.85016361842,
USR-10277,,674,5,58539.39563197839,1,147448.67397810187,61475.406611433755
USR-10278,32.0,806,8,40186.22464054078,2,122521.69972675185,41970.4398578387
USR-10279,34.0,505,1,7873.622414976424,1,27123.431570904737,8689.687649211635
USR-10280,43.0,444,7,60808.5612931788,1,28690.741405452623,63402.77425220216
USR-10281,27.0,843,3,14796.820596919591,2,20381.937902050337,13900.551303140777
USR-10282,,481,9,66037.67693025575,1,133740.91009244617,69844.58915081456
USR-10283,62.0,673,0,56406.12565365221,1,68758.73577079666,59270.47734450129
USR-10284,35.0,328,1,61151.86812279269,1,90583.02088252315,61869.04743037104
USR-10285,44.0,789,7,45856.407330471375,3,128050.93732667621,48452.908354992105
USR-10286,35.0,806,8,62772.12430543105,2,109784.81185062775,64901.44351947402
USR-10287,38.0,828,4,57198.458939440374,1,39715.86253274523,58700.99676122951
USR-10288,37.0,646,6,26034.489196779006,1,137543.28832053914,27461.628226437675
USR-10289,32.0,677,4,40370.346346841565,1,44068.32614625247,43223.76010130907
USR-10290,34.0,536,1,80989.80808364999,2,138018.17612259736,85263.01441823263
USR-10291,42.0,824,2,34721.523149546105,1,122635.08074095455,35726.57529012982
USR-10292,33.0,631,1,,4,,
USR-10293,36.0,548,7,,1,78274.87260954594,
USR-10294,28.0,833,8,,1,40256.430451363995,
USR-10295,21.0,626,6,54488.11407064006,1,,58111.81372891094
USR-10296,85.0,832,6,42399.92290755655,3,52889.715087634475,43864.61811091764
USR-10297,24.0,410,5,39093.6035038398,2,26315.68171476965,41464.42229484411
USR-10298,49.0,314,7,26684.65112190899,1,116778.1098253403,29364.922897894332
USR-10299,43.0,740,7,78918.41612730175,2,105236.7442943059,80630.49027694497
USR-10300,53.0,636,7,47521.476220029224,1,130506.20722272873,49745.720264363896
USR-10301,27.0,649,4,28221.813469418845,1,82819.99779217564,28767.709654566617
USR-10302,30.0,375,9,70519.79020161959,1,38140.95968598679,73851.78123548602
USR-10303,34.0,651,2,51824.13588897485,3,92457.8945449794,54102.39312739422
USR-10304,32.0,320,2,46135.39643030283,2,103713.19911325893,46994.06044961918
USR-10305,35.0,505,0,41571.04856259527,2,106625.86995764458,43398.827228578186
USR-10306,38.0,754,4,59987.65574697751,2,42929.54183766301,62195.172869373906
USR-10307,69.0,561,0,32784.99328679243,4,58440.1481222102,35616.723694012406
USR-10308,55.0,346,0,47875.47637801887,1,,51156.452840548955
USR-10309,23.0,451,0,60229.0056797376,2,122827.10676720312,63752.837416520764
USR-10310,21.0,397,7,78374.2320298171,1,27033.363999740945,82426.63963379755
USR-10311,23.0,346,9,37036.683536483586,2,21903.830085874994,39661.438247650905
USR-10312,34.0,519,0,7326.006535749781,2,84297.43115318351,6940.669871299948
USR-10313,60.0,622,3,,2,147063.47533200477,
USR-10314,43.0,619,3,,2,52032.305674388954,
USR-10315,30.0,384,2,60178.8372076238,1,31630.006290879246,62510.01010816557
USR-10316,20.0,814,1,50320.50827796069,2,145207.2031295966,52514.81318341478
USR-10317,36.0,606,4,17150.225957267547,2,25903.95701670438,17399.61940711973
USR-10318,38.0,469,7,77447.78464409684,2,141152.05186640285,81802.0375254066
USR-10319,,379,1,,1,93748.61664137708,
USR-10320,28.0,330,5,64443.62526384569,1,,69186.89756822171
USR-10321,20.0,314,5,,3,146253.38613065684,
USR-10322,25.0,684,2,61295.1167714107,1,145943.0993714512,63684.838700325694
USR-10323,46.0,756,6,,1,37771.113479405525,
USR-10324,33.0,418,9,40113.87521164972,2,40227.3119742811,42539.42696656771
USR-10325,26.0,484,3,58462.97608571156,2,23967.583645343737,62060.891224104445
USR-10326,85.0,831,2,74052.57549582783,2,137722.64903872038,76287.1097504834
USR-10327,39.0,805,9,53026.53007779167,1,139450.88412919117,55666.17198623938
USR-10328,52.0,813,0,21316.915327265237,2,42106.68675206162,22856.043710531547
USR-10329,59.0,642,1,56066.48566289672,2,81281.56895863859,58460.40442827026
USR-10330,69.0,690,5,35537.43567795435,1,45338.20025825889,36454.983156017995
USR-10331,51.0,382,0,,2,97925.75268277057,
USR-10332,27.0,617,8,61789.64095379367,2,73261.7468629141,65613.57881610125
USR-10333,62.0,403,5,65936.47633629333,1,145656.24374490703,68125.22486457707
USR-10334,50.0,616,9,61724.550842316494,1,73250.95429999036,62759.32808414021
USR-10335,29.0,303,5,57137.0101426815,1,140230.36969102395,60763.22142336496
USR-10336,42.0,466,6,,1,138101.49724817494,
USR-10337,,768,6,35219.85145811152,1,105596.06607915885,36932.10618605972
USR-10338,37.0,350,8,58436.632795772544,1,116449.3713146033,60324.031359001056
USR-10339,32.0,329,9,70148.89544841473,1,26919.804481018757,73974.70303512251
USR-10340,57.0,434,0,,2,77804.55055340604,
USR-10341,72.0,586,0,76078.00155780907,3,99001.28854475463,79777.40834781354
USR-10342,74.0,777,2,56297.806375410815,1,134529.9470348514,60718.88274900194
USR-10343,42.0,680,8,32985.228572397275,1,29891.85180020423,36293.8088062444
USR-10344,35.0,739,6,36870.83675668509,4,140743.4604374959,37882.68580331455
USR-10345,52.0,406,5,73018.34257289759,1,112063.00631848683,77679.67445423463
USR-10346,27.0,355,9,52539.35960396087,2,139616.59782544,54291.91875533999
USR-10347,71.0,804,5,69008.31393475499,1,147191.1128531287,72394.40611125676
USR-10348,53.0,754,4,38102.11960455473,2,103397.49984791814,39363.82327699247
USR-10349,23.0,372,1,42630.94109804611,1,,43800.76320483533
USR-10350,53.0,760,7,45656.56200906982,2,74839.90512059451,45896.69253332773
USR-10351,30.0,442,4,41022.640393558366,2,101414.55758632263,42891.82160917925
USR-10352,67.0,333,1,70043.24401310518,2,,72475.28780410766
USR-10353,31.0,319,1,70529.76609248517,1,56031.16285446393,73608.50799834655
USR-10354,33.0,690,3,,2,,
USR-10355,32.0,482,2,66738.22147810465,1,29262.35263277596,70220.9029776834
USR-10356,40.0,485,1,845587.5619238437,2,,887217.4163534777
USR-10357,67.0,803,0,42315.51005323529,1,,44348.90927435418
USR-10358,32.0,485,1,53812.89373245051,2,140395.3354100599,57381.25396677641
USR-10359,35.0,730,9,36358.99902247214,1,,37064.22703049627
USR-10360,35.0,346,4,68908.07529666011,1,93536.99291676158,72409.03040411868
USR-10361,41.0,660,1,44893.24452985741,2,122010.96388035224,48907.48779563544
USR-10362,50.0,417,0,38560.25787407278,1,87505.5271671846,42749.38204788051
USR-10363,85.0,718,0,72476.68575315275,1,99168.1447361718,76443.4202850022
USR-10364,40.0,339,4,27266.786417895502,2,118828.26199675114,28084.309113021125
USR-10365,30.0,846,5,53699.57484639969,1,69338.71826567728,55120.311394839344
USR-10366,60.0,535,2,49919.24418380031,2,,53513.445829420256
USR-10367,28.0,792,8,33386.867129155886,2,23299.613974376716,33504.98674283524
USR-10368,85.0,675,0,45511.41400960618,1,70077.4069166731,46988.51680863402
USR-10369,40.0,439,0,54800.266221917394,1,,57262.39130003053
