ID,Age,Income,Experience_Years,Education_Level,City,Work_Hours_Per_Week,Remote_Work,Productivity_Score
130,40,,27,phd,Valparaíso,36,No,223.82
131,41,1037.43,34,phd,Valparaiso,21,Yes,280.86
132,54,709.75,30,Master,santiago,55,no,256.91
133,52,711.24,26,bachelor,Valparaiso,26,yes,233.13
134,61,864.37,10,Master,santiago,32,No,255.52
135,57,871.12,37,Bachelors,Valparaiso,34,Yes,263.21
136,39,809.64,4,High School,Valparaiso,44,no,219.63
137,44,466.43,7,Bachelor,Concepcion,42,no,172.73
138,52,769.64,33,bachelor,,41,Yes,238.34
139,18,1369.62,11,,Valparaíso,45,no,392.04
140,52,104.0,37,bachelor,Valparaiso,52,no,16.15
141,54,1017.44,0,Master,santiago,30,No,304.35
142,64,1064.28,30,Bachelors,Valparaiso,29,no,317.7
143,31,460.41,3,bachelor,,44,Yes,113.19
144,20,682.64,4,High School,Concepción,56,No,154.13
145,18,549.82,29,bachelor,santiago,57,Yes,196.83
146,22,1263.49,23,phd,Santiago,43,yes,377.81
147,43,1075.76,2,Bachelor,santiago,59,Yes,279.37
148,31,1087.86,10,,Valparaíso,52,Yes,312.82
149,56,830.16,3,phd,Concepción,36,No,259.82
150,44,,25,Bachelor,Concepción,43,no,343.17
151,26,797.94,26,High School,Valparaíso,56,Yes,246.91
152,32,1139.79,26,Bachelors,Concepción,21,No,352.01
153,32,,5,phd,Valparaíso,51,yes,182.84
154,43,630.19,14,Bachelors,,43,No,215.91
155,59,1252.74,29,phd,Concepcion,28,No,333.47
156,30,794.79,36,PhD,,23,no,265.68
157,68,575.3,36,Bachelor,Valparaíso,36,Yes,201.86
158,49,572.59,36,phd,santiago,36,yes,175.98
159,56,573.36,34,PhD,Santiago,49,No,189.81
160,66,1011.11,22,Master,,59,Yes,294.22
161,69,775.28,5,PhD,Santiago,30,Yes,240.05
162,49,1374.49,3,bachelor,Concepción,40,No,435.63
163,21,1096.54,17,,santiago,40,Yes,305.7
164,47,864.28,8,PhD,Concepcion,37,No,276.1
165,54,1150.97,28,,Concepción,48,No,400.46
166,40,676.12,12,Master,Concepcion,43,No,208.17
167,56,336.3,16,High School,Concepción,29,yes,88.0
168,62,552.6,31,phd,Santiago,36,No,241.98
169,32,836.8,21,bachelor,Valparaíso,37,no,256.8
170,60,744.36,3,High School,,39,Yes,223.95
171,46,1006.1,4,PhD,Valparaiso,56,yes,300.2
172,53,768.85,36,High School,Valparaiso,37,Yes,254.69
173,30,987.01,12,High School,Santiago,36,yes,284.74
174,49,1175.24,33,Master,santiago,28,no,369.17
175,24,768.08,21,High School,santiago,33,yes,262.89
176,68,938.79,22,High School,Santiago,48,yes,271.83
177,39,361.3,2,phd,santiago,50,yes,86.79
178,45,769.03,33,Master,Valparaíso,23,Yes,233.85
179,19,492.01,31,bachelor,Santiago,37,No,122.77
180,59,836.31,20,PhD,Valparaíso,39,Yes,232.61
181,62,859.0,20,Master,santiago,28,No,240.39
182,23,858.17,10,Master,Santiago,32,Yes,256.04
183,45,,38,Bachelor,santiago,34,no,241.28
184,45,1374.62,3,Master,Santiago,46,no,448.3
185,61,482.99,0,Bachelor,santiago,34,yes,139.81
186,61,467.71,27,PhD,Valparaíso,47,no,158.11
187,37,1213.74,23,High School,Valparaíso,56,yes,371.72
188,47,,34,,santiago,38,No,133.78
189,28,563.83,12,,Santiago,45,no,131.71
190,45,1375.73,33,PhD,Valparaiso,45,No,443.06
191,42,1046.43,10,PhD,Valparaíso,44,Yes,335.88
192,56,651.38,35,Bachelors,,45,No,228.98
193,50,854.38,16,High School,Concepción,45,Yes,249.98
194,18,1286.47,34,PhD,Valparaiso,47,No,333.7
195,44,972.91,17,Master,santiago,37,No,262.12
196,69,1121.54,39,phd,Santiago,51,no,319.5
197,30,1001.2,21,,Concepción,22,No,325.32
198,58,,23,phd,santiago,21,no,306.35
199,20,809.94,18,Bachelor,Concepcion,52,no,292.29
200,56,4014.2000000000003,36,phd,Valparaíso,100,yes,295.28
201,23,866.76,38,Bachelors,Concepcion,36,yes,322.04
202,25,983.61,20,High School,Valparaíso,52,Yes,267.19
203,44,,7,PhD,Valparaíso,31,No,230.78
204,26,830.51,27,High School,Concepcion,22,Yes,243.93
205,54,722.41,4,PhD,Concepcion,45,No,219.56
206,50,828.92,16,phd,santiago,54,yes,221.71
207,68,487.25,36,bachelor,Concepción,27,yes,195.56
208,59,1451.49,35,,Concepción,55,No,418.34
209,61,616.76,18,Bachelors,Concepcion,26,No,130.41
210,41,709.63,26,Bachelor,santiago,55,yes,275.9
211,32,595.18,33,phd,,35,yes,201.33
212,49,953.93,10,PhD,santiago,43,Yes,250.51
213,49,751.0,11,phd,santiago,20,yes,221.93
214,41,559.05,20,Bachelors,Valparaíso,44,No,151.61
215,58,964.22,10,Master,Concepción,29,Yes,288.64
216,69,997.91,38,Master,Concepción,35,No,335.46
217,66,783.28,27,Bachelors,Valparaíso,35,no,260.86
218,66,634.09,4,PhD,Concepcion,27,Yes,194.44
219,69,1347.77,16,High School,Valparaíso,48,No,402.89
220,29,,19,Bachelors,Concepción,58,yes,295.77
221,56,481.48,11,PhD,Concepción,47,no,82.78
222,19,1153.51,5,bachelor,Concepcion,25,No,321.09
223,20,586.06,16,,,35,Yes,147.46
224,66,1485.47,18,PhD,Santiago,39,No,477.03
225,54,819.91,25,Bachelors,Santiago,35,no,229.3
226,66,1053.33,31,Bachelors,,26,Yes,287.72
227,34,280.0,5,High School,Valparaíso,33,no,96.38
228,66,478.96,35,High School,Valparaíso,45,No,124.93
229,19,1133.46,37,PhD,santiago,45,yes,339.02
230,19,,10,PhD,Concepción,33,yes,333.67
231,45,1310.6,32,Bachelor,Valparaiso,26,No,427.59
232,40,921.29,23,Bachelors,Concepcion,52,No,271.16
233,54,836.32,22,Master,Valparaiso,45,No,249.26
234,49,1228.39,14,Bachelors,Valparaiso,39,Yes,394.94
235,50,1052.53,26,Bachelors,Concepcion,22,no,344.25
236,18,750.93,10,PhD,,23,no,227.95
237,36,,16,Bachelors,Concepcion,100,no,160.05
238,19,207.1,13,phd,Valparaiso,30,No,18.23
239,61,690.58,26,Bachelors,Concepción,21,no,165.27
240,43,503.42,17,phd,Concepción,33,No,147.62
241,49,1449.43,27,High School,Concepción,49,Yes,419.53
242,23,637.41,3,Master,Valparaíso,31,yes,204.11
243,49,630.57,6,,Santiago,45,No,189.09
244,21,419.69,34,,Concepcion,52,No,109.32
245,28,733.42,8,phd,Concepción,32,yes,222.52
246,34,633.87,7,phd,Concepcion,33,yes,174.51
247,55,6172.150000000001,16,High School,Concepción,100,Yes,431.73
248,41,,16,phd,Valparaíso,53,no,261.62
249,22,797.78,32,,Santiago,45,No,199.52
250,69,766.33,31,Bachelor,,40,no,292.01
251,51,996.54,7,Master,Concepción,47,No,274.07
252,23,686.92,18,High School,Valparaíso,55,Yes,174.83
253,39,966.8,37,High School,santiago,59,yes,361.05
254,28,1203.49,2,Bachelors,,21,Yes,368.22
255,65,915.02,4,bachelor,Concepcion,28,yes,291.93
256,33,737.57,12,Bachelors,Valparaiso,42,no,240.86
257,50,561.64,30,Bachelors,Valparaíso,34,no,170.51
258,26,731.22,15,PhD,Valparaiso,32,Yes,203.29
259,23,940.77,31,PhD,Concepción,42,yes,277.05
260,33,416.87,21,PhD,Valparaiso,36,Yes,176.63
261,46,,28,bachelor,Santiago,21,yes,318.28
262,20,851.9,21,,Concepcion,39,yes,297.66
263,37,762.7,2,Bachelor,Valparaiso,39,no,219.72
264,53,635.15,9,Master,Santiago,22,no,167.98
265,36,680.91,20,PhD,Valparaíso,31,yes,164.81
266,43,949.33,15,PhD,Valparaiso,59,yes,299.94
267,20,767.95,11,High School,Concepción,21,yes,282.51
268,36,674.72,1,Bachelors,Concepción,55,no,165.34
269,37,917.14,23,Bachelors,Concepción,33,no,295.44
270,49,927.05,34,bachelor,,35,No,246.85
271,24,487.71,29,bachelor,Valparaiso,38,yes,136.54
272,69,942.87,29,PhD,Valparaíso,53,No,294.8
273,58,1425.42,34,Bachelors,Valparaiso,25,yes,387.78
274,50,917.41,18,Bachelor,Concepcion,32,no,277.28
275,57,,7,Master,Santiago,55,No,79.97
276,56,844.34,25,Bachelors,Concepcion,41,No,275.74
277,35,342.3,39,High School,Concepción,37,Yes,109.83
278,57,1591.84,6,Bachelors,Santiago,31,yes,502.54
279,18,1358.92,29,phd,Concepción,49,no,403.99
280,28,633.52,6,bachelor,santiago,59,Yes,140.38
281,45,238.58,2,High School,Concepcion,26,Yes,22.77
282,42,580.41,0,Master,,51,yes,106.65
283,67,754.75,35,PhD,Valparaíso,38,Yes,255.31
284,40,,24,High School,Valparaiso,25,yes,191.59
285,48,,36,Bachelors,Santiago,39,Yes,258.08
286,47,753.11,0,PhD,Santiago,46,yes,266.89
287,59,831.29,14,,Valparaíso,56,no,279.19
288,52,857.41,36,PhD,Valparaíso,26,yes,254.47
289,24,558.6,12,Master,Valparaiso,24,yes,206.74
290,33,,39,bachelor,Concepción,30,No,175.14
291,43,4057.0,7,Master,Valparaiso,100,no,226.36
292,65,642.25,4,phd,Concepcion,22,no,184.02
293,69,1026.87,8,Bachelor,Concepción,24,no,302.43
294,66,,0,bachelor,santiago,42,Yes,254.13
295,19,1266.25,35,,Valparaiso,56,No,366.05
296,18,1005.12,34,phd,Valparaíso,28,no,339.61
297,65,1075.93,1,Bachelor,Concepción,34,Yes,342.72
298,29,833.14,39,phd,Valparaiso,22,Yes,275.33
299,22,839.34,22,Bachelors,Santiago,48,Yes,311.39
300,54,1232.83,8,Bachelors,santiago,25,No,407.47
301,49,705.43,33,PhD,Concepcion,36,Yes,253.02
302,26,936.69,13,bachelor,Santiago,45,No,280.49
303,58,733.44,3,Bachelors,Santiago,40,yes,224.08
304,52,732.84,29,High School,santiago,27,Yes,244.67
305,36,507.78,30,phd,,40,no,159.73
306,65,614.37,37,bachelor,Valparaíso,30,Yes,185.54
307,33,567.93,10,High School,Concepción,57,yes,91.81
308,20,948.59,34,Bachelors,Concepcion,27,yes,317.71
309,37,1060.05,7,PhD,Valparaiso,43,Yes,344.16
310,41,,2,Master,Santiago,54,yes,188.26
311,50,857.41,13,PhD,Valparaiso,33,No,275.28
312,41,,12,High School,Valparaíso,33,No,210.22
313,69,597.31,31,Bachelor,Valparaiso,29,Yes,177.9
314,28,1015.57,33,,Concepcion,31,No,354.29
315,66,963.13,18,High School,Valparaiso,57,No,256.82
316,25,326.86,37,Bachelor,Valparaíso,53,no,76.19
317,53,729.22,15,Bachelor,Valparaíso,29,Yes,274.61
318,55,579.49,1,phd,,36,yes,162.78
319,57,702.27,39,bachelor,Concepcion,36,Yes,260.38
320,37,632.39,16,phd,Valparaíso,22,No,145.36
321,52,,33,Bachelors,Santiago,50,no,197.46
322,65,717.52,15,Bachelor,Valparaíso,20,Yes,191.37
323,42,712.21,37,High School,,31,Yes,211.52
324,52,1076.85,1,Master,Concepción,58,No,269.86
325,42,939.29,1,Bachelor,Valparaiso,23,No,288.77
326,46,624.03,25,High School,,32,Yes,206.35
327,35,661.11,12,,Valparaiso,53,No,166.79
328,63,922.95,30,phd,Concepcion,40,No,259.33
329,35,922.6,33,phd,Valparaiso,41,No,264.48
330,19,649.05,38,bachelor,Concepcion,23,No,174.17
331,52,741.5,2,High School,Concepcion,37,No,129.18
332,33,1261.7,7,Bachelor,Valparaíso,24,no,374.66
333,58,653.36,22,PhD,Santiago,38,No,186.49
334,53,1277.7,13,phd,Concepción,21,yes,375.77
335,50,1075.92,26,phd,Valparaíso,31,Yes,299.22
336,21,1231.35,28,bachelor,Valparaíso,36,no,400.52
337,50,642.73,38,,Concepcion,29,no,278.78
338,31,757.86,38,,Concepcion,53,No,210.74
339,38,687.71,0,Bachelor,,25,Yes,243.3
340,65,1081.69,16,,Valparaiso,27,yes,338.11
341,37,658.08,29,Bachelors,Valparaiso,30,No,206.99
342,25,982.8,12,Bachelors,Valparaíso,31,Yes,284.32
343,24,969.57,20,High School,santiago,28,No,292.77
344,20,787.99,18,Master,santiago,21,No,275.68
345,34,1124.66,18,phd,Valparaiso,27,No,306.86
346,50,4134.599999999999,24,Master,santiago,100,No,245.83
347,65,1008.52,21,phd,,55,No,339.53
348,29,676.32,30,phd,Concepcion,29,No,241.61
349,68,619.14,16,Bachelors,Valparaíso,40,No,152.06
350,39,982.79,22,Master,Santiago,39,yes,292.56
351,39,907.71,31,bachelor,,27,no,304.25
352,63,860.83,9,phd,Valparaiso,55,yes,271.65
353,47,714.08,9,PhD,Valparaiso,48,No,238.38
354,55,1187.3,35,,Valparaíso,31,No,379.02
355,55,520.85,7,bachelor,Concepción,33,yes,169.71
356,62,507.16,19,PhD,Valparaiso,40,yes,163.93
357,68,1035.54,31,Bachelor,,41,no,365.35
358,25,1015.02,13,phd,santiago,40,yes,290.35
359,44,888.44,27,,Valparaiso,49,no,271.68
360,44,728.01,23,Master,,58,No,187.85
361,51,925.61,14,phd,Concepción,39,Yes,240.52
362,38,6151.05,21,bachelor,santiago,100,Yes,380.71
363,47,1428.89,29,Bachelors,Valparaiso,42,Yes,413.04
364,50,385.9,3,Master,Valparaiso,26,Yes,110.34
365,45,695.27,12,Bachelors,Concepción,28,No,257.51
366,64,679.56,22,phd,Concepción,20,Yes,257.67
367,50,1206.63,7,Master,Valparaíso,45,yes,423.21
368,22,179.68,17,PhD,Concepción,57,yes,100.13
369,65,928.46,11,bachelor,,57,Yes,344.73
370,36,3679.0,30,phd,santiago,100,yes,240.64
371,21,1209.53,13,Bachelor,Valparaíso,29,no,336.47
372,52,1175.26,33,Master,Santiago,25,No,334.07
373,66,891.38,17,Master,Valparaiso,36,Yes,310.6
374,34,405.07,33,High School,Valparaiso,57,Yes,128.17
375,61,656.53,10,,Valparaíso,43,No,197.14
376,45,683.9,11,phd,Concepción,29,yes,188.4
377,47,468.39,14,Bachelors,Valparaiso,27,No,129.24
378,46,1088.65,30,,Concepcion,40,No,345.11
379,63,436.64,28,PhD,Valparaíso,25,yes,108.34
380,23,,25,Bachelors,,40,No,399.61
381,52,1290.71,17,High School,,58,yes,429.45
382,58,703.73,31,Bachelors,santiago,43,yes,154.01
383,54,882.12,21,PhD,Concepción,52,No,218.5
384,41,781.93,37,High School,Concepción,37,no,265.95
385,46,1025.46,16,High School,Valparaíso,47,yes,347.16
386,66,1118.67,22,Bachelor,Valparaiso,51,No,321.7
387,63,,23,Bachelors,Valparaiso,31,yes,204.7
388,48,917.28,7,Bachelors,Concepcion,46,no,312.44
389,52,644.85,5,Master,Concepcion,29,no,165.82
390,50,909.18,4,PhD,Concepción,51,Yes,253.72
391,69,4203.450000000001,28,bachelor,,100,yes,266.78
392,38,,27,Bachelor,Santiago,44,yes,156.32
393,49,796.49,10,,Concepcion,30,No,211.66
394,40,704.2,0,High School,Santiago,42,yes,177.13
395,50,647.63,18,High School,Concepcion,53,Yes,248.43
396,20,513.38,8,Bachelor,Concepción,59,no,181.0
397,35,815.63,26,High School,Concepción,42,no,266.52
398,42,604.88,33,High School,Santiago,48,Yes,122.77
399,59,682.22,3,PhD,Valparaíso,50,yes,213.51
400,48,1068.78,35,,Concepción,26,yes,348.66
401,20,958.03,17,phd,Valparaíso,59,Yes,245.77
402,57,555.31,14,Master,Valparaiso,52,No,170.95
403,63,887.97,12,Master,Santiago,40,no,295.94
404,41,833.2,18,High School,Concepción,21,Yes,271.84
405,67,1225.42,5,PhD,santiago,37,Yes,342.32
406,49,1145.79,11,High School,Valparaiso,52,yes,339.23
407,64,416.56,36,Master,Valparaíso,56,no,153.68
408,39,1015.28,16,Bachelor,Concepción,53,yes,303.77
409,40,1116.3,22,Bachelor,Santiago,39,Yes,375.72
410,19,939.84,25,bachelor,Concepcion,54,No,295.52
411,44,716.15,28,phd,santiago,37,no,244.03
412,59,1403.35,32,PhD,,43,Yes,453.05
413,19,962.85,26,Bachelors,Valparaiso,27,Yes,264.45
414,43,1294.14,24,,Santiago,49,No,391.94
415,34,1137.87,9,Bachelors,santiago,29,Yes,330.09
416,57,916.03,22,,Santiago,42,Yes,308.72
417,50,655.07,20,bachelor,Concepción,30,no,214.42
418,26,793.97,20,High School,Concepcion,21,no,238.34
419,60,744.52,12,Master,Valparaiso,45,no,181.9
420,65,496.37,36,bachelor,Santiago,55,yes,108.0
421,56,962.57,32,bachelor,,52,No,303.68
422,46,1191.84,23,Bachelors,Concepción,32,no,341.14
423,59,725.42,10,Master,Concepción,59,yes,230.81
424,43,1340.91,16,bachelor,Valparaiso,44,yes,352.18
425,52,410.6,3,phd,Concepción,23,No,167.87
426,67,1063.59,24,bachelor,Valparaíso,38,No,343.39
427,42,1217.88,29,Master,Santiago,37,Yes,375.44
428,41,748.99,8,High School,Valparaiso,56,yes,267.99
429,30,753.49,20,PhD,Concepción,49,no,254.7
430,24,1060.69,19,Master,Concepción,38,No,305.86
431,53,,18,,Valparaíso,42,yes,280.88
432,62,300.65,18,PhD,Concepcion,35,no,33.27
433,37,589.16,11,phd,Concepcion,20,yes,210.17
434,18,796.61,36,Bachelor,Concepción,31,No,241.9
435,25,457.58,16,Master,Santiago,43,Yes,77.36
436,63,681.46,36,High School,Valparaiso,53,yes,176.38
437,33,463.83,38,,Concepción,27,no,178.88
438,31,707.46,27,phd,,37,No,266.75
439,29,715.84,34,PhD,Valparaiso,24,Yes,227.56
440,68,887.94,17,phd,Concepcion,45,no,236.42
441,40,777.06,13,Master,Concepción,49,no,187.2
442,32,925.7,34,bachelor,Valparaíso,32,no,330.75
443,45,895.89,6,High School,santiago,38,yes,277.65
444,51,1057.83,12,Master,Concepción,48,No,303.84
445,19,1018.45,17,Bachelor,Santiago,22,no,292.59
446,49,992.03,36,Master,santiago,45,yes,326.76
447,40,1576.22,12,PhD,Concepción,59,No,486.4
448,39,886.85,35,PhD,Santiago,31,No,250.46
449,68,1448.39,30,Master,santiago,21,yes,411.05
450,42,903.05,1,,Santiago,30,yes,232.66
451,39,779.29,15,bachelor,Santiago,47,no,217.84
452,39,706.71,8,phd,santiago,37,No,187.92
453,66,1177.43,8,Master,santiago,32,Yes,399.37
454,69,1210.13,37,High School,Santiago,56,yes,355.23
455,59,949.95,10,bachelor,Concepcion,41,No,244.3
456,23,1083.39,21,phd,santiago,31,No,293.51
457,32,,32,High School,Concepción,21,no,150.49
458,60,412.81,35,,Valparaiso,56,Yes,75.48
459,54,1111.58,22,High School,Valparaíso,26,no,337.47
460,50,768.3,33,phd,Santiago,45,Yes,197.9
461,25,987.33,8,,Santiago,45,Yes,325.96
462,61,,23,High School,Valparaíso,43,yes,192.6
463,61,1214.25,7,High School,Concepcion,31,No,425.21
464,22,414.9,6,Bachelors,Valparaíso,35,No,113.62
465,56,453.6,35,Master,santiago,42,No,51.23
466,21,1161.08,17,phd,Valparaíso,59,Yes,388.75
467,23,147.54,2,,,28,No,54.72
468,62,894.64,27,PhD,Valparaíso,51,yes,291.4
469,49,773.17,5,phd,,34,Yes,197.57
470,69,616.01,20,bachelor,Concepción,56,Yes,182.32
471,47,750.02,27,,santiago,32,Yes,237.7
472,64,588.12,39,,,24,Yes,184.0
473,52,1185.56,0,,Santiago,30,yes,297.64
474,57,1251.12,35,Master,Concepción,29,No,470.1
475,69,628.57,20,phd,santiago,32,yes,217.25
476,33,868.88,34,High School,Santiago,34,No,283.48
477,30,468.73,12,,Concepcion,26,yes,180.84
478,67,1068.26,9,Bachelor,Valparaiso,59,no,332.5
479,59,,9,High School,Concepcion,47,no,293.31
480,47,3630.8999999999996,12,High School,Valparaiso,100,no,251.15
481,36,804.22,36,High School,Valparaíso,54,no,274.03
482,34,776.56,37,,,34,Yes,225.49
483,36,395.39,23,Bachelor,Valparaíso,55,Yes,142.82
484,45,1186.5,1,High School,Valparaiso,40,yes,341.23
485,43,608.26,21,bachelor,Valparaiso,25,yes,194.23
486,54,609.96,16,PhD,Valparaiso,20,no,204.98
487,43,762.4,35,bachelor,Concepción,23,No,282.67
488,40,,13,Bachelor,Santiago,30,no,295.79
489,26,652.17,9,phd,santiago,45,yes,202.1
490,29,311.95,34,PhD,Valparaíso,56,no,159.86
491,18,578.25,24,Bachelor,,42,yes,171.79
492,18,906.04,2,bachelor,Concepcion,48,no,269.11
493,64,,37,Bachelors,Valparaiso,40,No,475.16
494,51,485.02,16,Master,Valparaiso,46,no,163.43
495,49,475.87,11,Bachelor,Valparaiso,58,No,92.44
496,65,421.85,23,High School,,59,No,102.39
497,42,390.82,28,bachelor,Concepcion,32,yes,145.53
498,57,1101.42,24,High School,Santiago,42,No,346.72
